asset,date,AdrActCnt,BlkCnt,DiffMean,FeeTotUSD,HashRate,IssTotUSD,PriceUSD,TxCnt
btc,2009-08-15T00:00:00.000000000Z,26,26,1,,0.00000129246701037037,,,0
btc,2009-08-16T00:00:00.000000000Z,19,19,1,,0.000000944495122962963,,,0
btc,2009-08-17T00:00:00.000000000Z,17,17,1,,0.000000845074583703704,,,0
btc,2009-08-18T00:00:00.000000000Z,10,10,1,,0.000000497102696296296,,,0
btc,2009-08-19T00:00:00.000000000Z,18,18,1,,0.000000894784853333333,,,0
btc,2009-08-20T00:00:00.000000000Z,22,22,1,,0.00000109362593185185,,,0
btc,2009-08-21T00:00:00.000000000Z,14,14,1,,0.000000695943774814815,,,0
btc,2009-08-22T00:00:00.000000000Z,7,7,1,,0.000000347971887407407,,,0
btc,2009-08-23T00:00:00.000000000Z,15,15,1,,0.000000745654044444444,,,0
btc,2009-08-24T00:00:00.000000000Z,15,15,1,,0.000000745654044444444,,,0
btc,2009-08-25T00:00:00.000000000Z,50,50,1,,0.00000248551348148148,,,0
btc,2009-08-26T00:00:00.000000000Z,96,48,1,,0.00000238609294222222,,,3
btc,2009-08-27T00:00:00.000000000Z,29,29,1,,0.00000144159781925926,,,0
btc,2009-08-28T00:00:00.000000000Z,75,75,1,,0.00000372827022222222,,,0
btc,2009-08-29T00:00:00.000000000Z,78,78,1,,0.00000387740103111111,,,0
btc,2009-08-30T00:00:00.000000000Z,99,97,1,,0.00000482189615407407,,,1
btc,2009-08-31T00:00:00.000000000Z,93,86,1,,0.00000427508318814815,,,1
btc,2009-09-01T00:00:00.000000000Z,78,78,1,,0.00000387740103111111,,,0
btc,2009-09-02T00:00:00.000000000Z,66,66,1,,0.00000328087779555556,,,0
btc,2009-09-03T00:00:00.000000000Z,76,61,1,,0.00000303232644740741,,,1
btc,2009-09-04T00:00:00.000000000Z,64,64,1,,0.0000031814572562963,,,0
btc,2009-09-05T00:00:00.000000000Z,76,76,1,,0.00000377798049185185,,,0
btc,2009-09-06T00:00:00.000000000Z,68,68,1,,0.00000338029833481481,,,0
btc,2009-09-07T00:00:00.000000000Z,92,78,1,,0.00000387740103111111,,,1
btc,2009-09-08T00:00:00.000000000Z,69,69,1,,0.00000343000860444444,,,0
btc,2009-09-09T00:00:00.000000000Z,54,54,1,,0.00000268435456,,,0
btc,2009-09-10T00:00:00.000000000Z,67,67,1,,0.00000333058806518519,,,0
btc,2009-09-11T00:00:00.000000000Z,67,67,1,,0.00000333058806518519,,,0
btc,2009-09-12T00:00:00.000000000Z,69,69,1,,0.00000343000860444444,,,0
btc,2009-09-13T00:00:00.000000000Z,75,75,1,,0.00000372827022222222,,,0
btc,2009-09-14T00:00:00.000000000Z,74,74,1,,0.00000367855995259259,,,0
btc,2009-09-15T00:00:00.000000000Z,44,44,1,,0.0000021872518637037,,,0
btc,2009-09-16T00:00:00.000000000Z,74,72,1,,0.00000357913941333333,,,1
btc,2009-09-17T00:00:00.000000000Z,186,84,1,,0.00000417566264888889,,,1
btc,2009-09-18T00:00:00.000000000Z,78,78,1,,0.00000387740103111111,,,0
btc,2009-09-19T00:00:00.000000000Z,74,74,1,,0.00000367855995259259,,,0
btc,2009-09-20T00:00:00.000000000Z,78,78,1,,0.00000387740103111111,,,0
btc,2009-09-21T00:00:00.000000000Z,78,69,1,,0.00000343000860444444,,,1
btc,2009-09-22T00:00:00.000000000Z,66,25,1,,0.00000124275674074074,,,1
btc,2009-09-23T00:00:00.000000000Z,36,36,1,,0.00000178956970666667,,,0
btc,2009-09-24T00:00:00.000000000Z,97,97,1,,0.00000482189615407407,,,0
btc,2009-09-25T00:00:00.000000000Z,119,91,1,,0.0000045236345362963,,,2
btc,2009-09-26T00:00:00.000000000Z,117,100,1,,0.00000497102696296296,,,1
btc,2009-09-27T00:00:00.000000000Z,87,87,1,,0.00000432479345777778,,,0
btc,2009-09-28T00:00:00.000000000Z,85,85,1,,0.00000422537291851852,,,0
btc,2009-09-29T00:00:00.000000000Z,133,88,1,,0.00000437450372740741,,,2
btc,2009-09-30T00:00:00.000000000Z,85,85,1,,0.00000422537291851852,,,0
btc,2009-10-01T00:00:00.000000000Z,82,82,1,,0.00000407624210962963,,,0
btc,2009-10-02T00:00:00.000000000Z,83,72,1,,0.00000357913941333333,,,1
btc,2009-10-03T00:00:00.000000000Z,58,58,1,,0.00000288319563851852,,,0
btc,2009-10-04T00:00:00.000000000Z,53,53,1,,0.00000263464429037037,,,0
btc,2009-10-05T00:00:00.000000000Z,55,55,1,,0.00000273406482962963,,,0
btc,2009-10-06T00:00:00.000000000Z,58,43,1,,0.00000213754159407407,,,2
btc,2009-10-07T00:00:00.000000000Z,60,60,1,,0.00000298261617777778,,,0
btc,2009-10-08T00:00:00.000000000Z,70,70,1,,0.00000347971887407407,,,0
btc,2009-10-09T00:00:00.000000000Z,79,79,1,,0.00000392711130074074,,,0
btc,2009-10-10T00:00:00.000000000Z,77,77,1,,0.00000382769076148148,,,0
btc,2009-10-11T00:00:00.000000000Z,74,74,1,,0.00000367855995259259,,,0
btc,2009-10-12T00:00:00.000000000Z,132,58,1,,0.00000288319563851852,,,1
btc,2009-10-13T00:00:00.000000000Z,57,57,1,,0.00000283348536888889,,,0
btc,2009-10-14T00:00:00.000000000Z,69,69,1,,0.00000343000860444444,,,0
btc,2009-10-15T00:00:00.000000000Z,71,71,1,,0.0000035294291437037,,,0
btc,2009-10-16T00:00:00.000000000Z,141,60,1,,0.00000298261617777778,,,1
btc,2009-10-17T00:00:00.000000000Z,57,57,1,,0.00000283348536888889,,,0
btc,2009-10-18T00:00:00.000000000Z,82,74,1,,0.00000367855995259259,,,1
btc,2009-10-19T00:00:00.000000000Z,112,112,1,,0.00000556755019851852,,,0
btc,2009-10-20T00:00:00.000000000Z,197,95,1,,0.00000472247561481481,,,1
btc,2009-10-21T00:00:00.000000000Z,99,80,1,,0.00000397682157037037,,,1
btc,2009-10-22T00:00:00.000000000Z,130,90,1,,0.00000447392426666667,,,1
btc,2009-10-23T00:00:00.000000000Z,89,89,1,,0.00000442421399703704,,,0
btc,2009-10-24T00:00:00.000000000Z,70,62,1,,0.00000308203671703704,,,1
btc,2009-10-25T00:00:00.000000000Z,76,76,1,,0.00000377798049185185,,,0
btc,2009-10-26T00:00:00.000000000Z,71,71,1,,0.0000035294291437037,,,0
btc,2009-10-27T00:00:00.000000000Z,81,64,1,,0.0000031814572562963,,,1
btc,2009-10-28T00:00:00.000000000Z,66,66,1,,0.00000328087779555556,,,0
btc,2009-10-29T00:00:00.000000000Z,89,46,1,,0.00000228667240296296,,,2
btc,2009-10-30T00:00:00.000000000Z,60,60,1,,0.00000298261617777778,,,0
btc,2009-10-31T00:00:00.000000000Z,46,46,1,,0.00000228667240296296,,,0
btc,2009-11-01T00:00:00.000000000Z,25,25,1,,0.00000124275674074074,,,0
btc,2009-11-02T00:00:00.000000000Z,33,33,1,,0.00000164043889777778,,,0
btc,2009-11-03T00:00:00.000000000Z,62,62,1,,0.00000308203671703704,,,0
btc,2009-11-04T00:00:00.000000000Z,105,63,1,,0.00000313174698666667,,,1
btc,2009-11-05T00:00:00.000000000Z,57,57,1,,0.00000283348536888889,,,0
btc,2009-11-06T00:00:00.000000000Z,62,62,1,,0.00000308203671703704,,,0
btc,2009-11-07T00:00:00.000000000Z,69,69,1,,0.00000343000860444444,,,0
btc,2009-11-08T00:00:00.000000000Z,73,73,1,,0.00000362884968296296,,,0
btc,2009-11-09T00:00:00.000000000Z,64,64,1,,0.0000031814572562963,,,0
btc,2009-11-10T00:00:00.000000000Z,120,78,1,,0.00000387740103111111,,,3
btc,2009-11-11T00:00:00.000000000Z,76,64,1,,0.0000031814572562963,,,6
btc,2009-11-12T00:00:00.000000000Z,68,66,1,,0.00000328087779555556,,,2
btc,2009-11-13T00:00:00.000000000Z,91,80,1,,0.00000397682157037037,,,1
btc,2009-11-14T00:00:00.000000000Z,79,79,1,,0.00000392711130074074,,,0
btc,2009-11-15T00:00:00.000000000Z,96,96,1,,0.00000477218588444444,,,0
btc,2009-11-16T00:00:00.000000000Z,97,97,1,,0.00000482189615407407,,,0
